Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","172.31.94.8","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the   remote web server.","n/a","","The remote web server type is :

NessusWWW","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10147","","","None","172.31.94.8","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL     : https://ip-172-31-94-8.ec2.internal:8834/
  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0673","","1999/10/12","2023/02/08","","",""
"10267","","","None","172.31.94.8","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.7
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10863","","","None","172.31.94.8","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: ip-172-31-94-8.ec2.internal

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 12 BE 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Jul 17 13:42:04 2025 GMT
Not Valid After: Jul 16 13:42:04 2029 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B8 E0 67 59 59 DA 46 71 47 B2 3E DF 9C B8 E4 FF FD 16 49 
            18 0E 1F E2 57 E9 66 F9 C7 F8 71 BA 3F 42 FE 83 EC 80 0C 41 
            43 5B 10 06 54 0F 0D 9A E1 3B CE 9F BF 24 50 3E EC 00 23 86 
            49 75 9C 43 96 EA D9 CB C4 90 CA 52 79 78 63 85 0D 65 52 A3 
            17 92 46 98 D4 10 2F C4 0D 3D F2 AC 50 8E 07 DE 18 8F 6A A0 
            12 55 6F 08 B5 B0 E8 10 A3 FF 41 56 9E 6F 48 EB 04 60 37 45 
            5B BD D8 F7 41 A8 7D EA AE 09 D1 BA 9E CE 3F 7B 86 85 24 CF 
            98 CB 8B 1B 4B 31 44 0D E2 FE E2 0D 6F D4 20 12 A0 DA 19 C4 
            EA 56 FE 05 4D 5F D7 CE 12 1F A1 80 BA 48 B1 EB BF 3D 6C 03 
            99 97 40 88 99 66 05 DD 7C FE 45 4D 5B A6 6F 7D 79 30 17 40 
            80 1A 08 9A 4A 6E D3 49 66 3B 78 54 88 67 4C D8 C0 7D 23 4A 
            48 F6 DF 66 35 D1 1E 9E 82 C9 8F A6 13 CB 23 FF 61 7E 93 CC 
            A2 5C 90 B8 57 03 DB 59 46 DF E5 03 38 EF 0E 55 F5 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 02 15 F0 0C 05 9A A7 25 F0 45 F2 FE 36 3C 27 B6 06 41 06 
           33 15 82 D3 5D 4D 61 4C 84 5B 33 04 28 A0 50 93 3D F3 4C 27 
           8C 34 9D A6 C8 D6 29 6F FB D5 DE E8 1A C8 4A 96 CC 76 D6 60 
           87 FB 81 7D 87 D3 C9 8E DC 42 C8 3A 0C A6 15 00 FC 27 94 37 
           1E EB 4D D2 63 7C 9F 48 21 1B 77 74 8B 3D 93 3C C7 86 B9 04 
           26 39 D5 B0 16 FB 23 C8 92 1B 46 F3 BE 8A 26 02 FE E2 23 CF 
           F7 69 50 70 53 8B D5 FC AA E1 EF 97 F9 82 E1 B0 92 3D BE 0B 
           15 44 02 8F 0E 80 95 A7 E0 2C D1 80 93 5F 46 E3 5E 6D 44 9B 
           BD DC EE 5D 1D 1B C0 58 B8 9F 2A 47 D4 71 D1 3E 0B 97 47 04 
           36 5C DD 5B 25 57 D1 6A 41 BC C9 93 D8 06 FB F0 E6 F4 FE 90 
           3F 8B B4 76 58 2C 3E EC 30 9A A7 DF B3 15 90 D0 33 E2 F0 A6 
           85 67 32 C8 E0 75 11 F8 E6 B5 52 B3 02 F4 7D F1 3F AD 01 48 
           C4 5F 9B E5 62 0D F5 FC 98 60 C9 6A 12 94 98 A3 1E 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 64 A7 8E FF 63 3F FF BC F1 28 C4 C7 CC A9 2C 56 AF 1E 45 63 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: CC 36 44 66 BB 01 02 FB C9 1E 43 AE FC DF FA EB F8 06 B4 BE 


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Fingerprints : 

SHA-256 Fingerprint: 1C AA 80 FA B5 0F 8B B9 0D DA 28 4E 26 93 45 07 89 B5 67 97 
                     67 AB 8D 3E 28 8E D3 06 B9 37 D3 D9 
SHA-1 Fingerprint: 53 6D 27 7C 42 3D E8 46 4F B6 DD 1C 86 72 8F E3 64 AC 16 5B 
MD5 Fingerprint: BD 9E 75 49 EA F4 0F 43 79 69 08 2C 70 42 40 CE 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEHjCCAwagAwIBAgICEr4wDQYJKoZIhvcNAQELBQAwgZ0xHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxJzAlBgNVBAsMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTEnMCUGA1UEAwweTmVzc3VzIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTI1MDcxNzEzNDIwNFoXDTI5MDcxNjEzNDIwNFowgYkxHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxFjAUBgNVBAsMDU5lc3N1cyBTZXJ2ZXIxETAPBgNVBAcMCE5ldyBZb3JrMQswCQYDVQQGEwJVUzELMAkGA1UECAwCTlkxJDAiBgNVBAMMG2lwLTE3Mi0zMS05NC04LmVjMi5pbnRlcm5hbDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALjgZ1lZ2kZxR7I+35y45P/9FkkYDh/iV+lm+cf4cbo/Qv6D7IAMQUNbEAZUDw2a4TvOn78kUD7sACOGSXWcQ5bq2cvEkMpSeXhjhQ1lUqMXkkaY1BAvxA098qxQjgfeGI9qoBJVbwi1sOgQo/9BVp5vSOsEYDdFW73Y90GofequCdG6ns4/e4aFJM+Yy4sbSzFEDeL+4g1v1CASoNoZxOpW/gVNX9fOEh+hgLpIseu/PWwDmZdAiJlmBd18/kVNW6ZvfXkwF0CAGgiaSm7TSWY7eFSIZ0zYwH0jSkj232Y10R6egsmPphPLI/9hfpPMolyQuFcD21lG3+UDOO8OVfUCAwEAAaN6MHgwEQYJYIZIAYb4QgEBBAQDAgZAMA4GA1UdDwEB/wQEAwIF4DAdBgNVHQ4EFgQUZKeO/2M//7zxKMTHzKksVq8eRWMwHwYDVR0jBBgwFoAUzDZEZrsBAvvJHkOu/N/66/gGtL4wEwYDVR0lBAwwCgYIKwYBBQUHAwEwDQYJKoZIhvcNAQELBQADggEBAAIV8AwFmqcl8EXy/jY8J7YGQQYzFYLTXU1hTIRbMwQooFCTPfNMJ4w0nabI1ilv+9Xe6BrISpbMdtZgh/uBfYfTyY7cQsg6DKYVAPwnlDce603SY3yfSCEbd3SLPZM8x4a5BCY51bAW+yPIkhtG876KJgL+4iPP92lQcFOL1fyq4e+X+YLhsJI9vgsVRAKPDoCVp+As0YCTX0bjXm1Em73c7l0dG8BYuJ8qR9Rx0T4Ll0cENlzdWyVX0WpBvMmT2Ab78Ob0/pA/i7R2WCw+7DCap9+zFZDQM+LwpoVnMsjgdRH45rVSswL0ffE/rQFIxF+b5WIN9fyYYMlqEpSYox4=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","172.31.94.8","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","","","","None","","","","2002/03/06","2024/07/24","","",""
"11153","","","None","172.31.94.8","tcp","22","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by looking at the error message it sends when it receives a 'HELP' request.","n/a","","An SSH server seems to be running on this port.","","","","","","","","","None","","","","2002/11/18","2024/11/19","","",""
"11936","","","None","172.31.94.8","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP, SNMP, etc.), it is possible to guess the name of the remote operating system in use. It is also possible sometimes to guess the version of the operating system.","n/a","","
Remote operating system : Linux Kernel 6.1.141-165.249.amzn2023.x86_64 on Amazon Linux 2023
Confidence level : 100
Method : uname

 
The remote host is running Linux Kernel 6.1.141-165.249.amzn2023.x86_64 on Amazon Linux 2023","","","","","","","","","None","","","","2003/12/09","2025/06/03","","",""
"12053","","","None","172.31.94.8","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of the remote host.","n/a","","
172.31.94.8 resolves as ip-172-31-94-8.ec2.internal.
","","","","","","","","","None","","","","2004/02/11","2025/03/13","","",""
"14272","","","None","172.31.94.8","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
"14272","","","None","172.31.94.8","tcp","8834","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8834/tcp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
